      -26.08640000        191.34422336          0.75202931
      -20.01640000        320.00431213          0.01544494
      -13.94630000        320.02114499          0.01081526
       -7.87630800        314.83433656          0.25264299
       -1.80628700        314.00816302          0.22181380
        4.26374400        299.61680885          2.48891931
       10.33380000        299.79613656          2.36648652
       16.40380000        299.56117697          2.40992265
       22.47381000        299.96662083          2.41730424
       28.54381000        299.76171693          2.31232522
       34.61390000        299.23556224          2.32100333
       40.68391000        299.45403711          2.28207052
       46.75391000        299.71186742          2.36650858
       52.82400000        299.62829160          2.35710364
       58.89401000        299.70881405          2.40306790
       64.96401000        299.54977004          2.39771286
       71.03402000        299.11791210          2.32617070
       77.10411000        299.58368812          2.36144869
       83.17411000        299.50163448          2.39848269
       89.24412000        299.48698212          2.44117188
       95.31421000        299.71283156          2.54906411
      101.38400000        299.80257659          2.54073185
      107.45400000        299.78624804          2.46561866
      113.52400000        299.81442238          2.45129100
      119.59400000        299.54667644          2.58098843
      125.66400000        285.53226267          0.54004272
      131.73400000        284.32650185          0.62216190
      137.80410000        280.01167724          0.00993419
      143.87410000        280.01688070          0.02096527
      149.94410000        168.34422393          0.85315976
